date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:06:49	383/383	---M-Z	200	added ('OK')	text/plain	date:Wed,%2017%20Jan%202024%2014:22:04%20GMT	https://www.forrester.com/robots.txt		(from )
17:06:49	167608/167608	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Aug%202025%2000:06:56%20GMT	https://www.forrester.com/bold/	C:/Users/philip%20godwin/Desktop/goddy/investttt/www.forrester.com/bold/index.html	(from )
17:06:50	178854/178854	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2003%20Mar%202010%2007:01:40%20GMT	https://www.forrester.com/ruxitagentjs_ICANVfqru_10317250630095842.js	C:/Users/philip%20godwin/Desktop/goddy/investttt/www.forrester.com/ruxitagentjs_ICANVfqru_10317250630095842.js	(from https://www.forrester.com/bold/)
17:06:50	2730/2730	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%226890d8a6-aaa%22	https://go.forrester.com/wp-content/themes/forrester/assets/dist/js/client-side-redirects.min.js?v=1754323114	C:/Users/philip%20godwin/Desktop/goddy/investttt/go.forrester.com/wp-content/themes/forrester/assets/dist/js/client-side-redirects.min75ce.js	(from https://www.forrester.com/bold/)
17:06:50	468/468	---M-Z	200	added ('OK')	text/css	etag:W/%22688f8de5-1d4%22	https://go.forrester.com/wp-content/plugins/auth0/assets/css/main.css?ver=4.6.2	C:/Users/philip%20godwin/Desktop/goddy/investttt/go.forrester.com/wp-content/plugins/auth0/assets/css/main83b6.css	(from https://www.forrester.com/bold/)
17:06:51	1776/1776	---M-Z	200	added ('OK')	text/css	etag:W/%22688f8de7-6f0%22	https://go.forrester.com/wp-content/themes/forrester/assets/vendor/slick.css?ver=1.8.1	C:/Users/philip%20godwin/Desktop/goddy/investttt/go.forrester.com/wp-content/themes/forrester/assets/vendor/slickc245.css	(from https://www.forrester.com/bold/)
17:06:52	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2005%20Aug%202025%2000:06:58%20GMT	http://www.googletagmanager.com/gtm.js?id=	C:/Users/philip%20godwin/Desktop/goddy/investttt/www.googletagmanager.com/gtm.55445.delayed	(from https://www.forrester.com/bold/)
17:06:52	5954/5954	---M-Z	200	added ('OK')	application/x-javascript	etag:%229de44bafcda8db1:0%22	http://img.en25.com/i/elqCfg.min.js	C:/Users/philip%20godwin/Desktop/goddy/investttt/img.en25.com/i/elqCfg.min.js	(from https://www.forrester.com/bold/)
17:06:53	219839/219839	---M-Z	200	added ('OK')	text/css	etag:W/%226890d8a9-35abf%22	https://go.forrester.com/wp-content/themes/forrester/assets/dist/css/core.min.css?ver=1754323114	C:/Users/philip%20godwin/Desktop/goddy/investttt/go.forrester.com/wp-content/themes/forrester/assets/dist/css/core.min0446.css	(from https://www.forrester.com/bold/)
17:06:54	1421/1421	---M--	200	added ('OK')	image/png	etag:%226348dad8-58d%22	https://go.forrester.com/wp-content/uploads/2021/10/cropped-icon_512.c2nfSw_xZ0-150x150.png	C:/Users/philip%20godwin/Desktop/goddy/investttt/go.forrester.com/wp-content/uploads/2021/10/cropped-icon_512.c2nfSw_xZ0-150x150.png	(from https://www.forrester.com/bold/)
17:06:55	2894/2894	---M--	200	added ('OK')	image/png	etag:%226348dad8-b4e%22	https://go.forrester.com/wp-content/uploads/2021/10/cropped-icon_512.c2nfSw_xZ0-300x300.png	C:/Users/philip%20godwin/Desktop/goddy/investttt/go.forrester.com/wp-content/uploads/2021/10/cropped-icon_512.c2nfSw_xZ0-300x300.png	(from https://www.forrester.com/bold/)
17:06:55	1138/1138	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%226890a8c8-472%22	https://go.forrester.com/wp-content/plugins/duracelltomi-google-tag-manager/dist/js/gtm4wp-form-move-tracker.js?ver=1.21.1	C:/Users/philip%20godwin/Desktop/goddy/investttt/go.forrester.com/wp-content/plugins/duracelltomi-google-tag-manager/dist/js/gtm4wp-form-move-tracker2c73.js	(from https://www.forrester.com/bold/)
17:06:57	174540/174540	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Aug%202025%2000:07:02%20GMT	https://www.forrester.com/bold/planning-guides/	C:/Users/philip%20godwin/Desktop/goddy/investttt/www.forrester.com/bold/planning-guides/index.html	(from https://www.forrester.com/bold/)
17:06:59	201977/201977	---MCZ	200	added ('OK')	application/javascript	etag:W/%2289a0ae9d98a5dfe8dd1bca157da6acf6%22	http://cdn-0.d41.co/tags/ff/ff-4.min.js	C:/Users/philip%20godwin/Desktop/goddy/investttt/cdn-0.d41.co/tags/ff/ff-4.min.js	(from https://www.forrester.com/bold/)
17:07:00	176771/176771	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Aug%202025%2000:07:02%20GMT	https://www.forrester.com/bold/cross-functional-alignment/	C:/Users/philip%20godwin/Desktop/goddy/investttt/www.forrester.com/bold/cross-functional-alignment/index.html	(from https://www.forrester.com/bold/)
17:07:00	178431/178431	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Aug%202025%2000:07:02%20GMT	https://www.forrester.com/bold/customer-obsession/	C:/Users/philip%20godwin/Desktop/goddy/investttt/www.forrester.com/bold/customer-obsession/index.html	(from https://www.forrester.com/bold/)
17:07:00	89664/89664	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%22688f8de4-15e40%22	https://go.forrester.com/wp-content/themes/forrester/assets/vendor/jquery.min.js?ver=3.6.1	C:/Users/philip%20godwin/Desktop/goddy/investttt/go.forrester.com/wp-content/themes/forrester/assets/vendor/jquery.mina7a0.js	(from https://www.forrester.com/bold/)
17:07:01	175934/175934	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Aug%202025%2000:07:07%20GMT	https://www.forrester.com/bold/create-content-that-fuels-demand/	C:/Users/philip%20godwin/Desktop/goddy/investttt/www.forrester.com/bold/create-content-that-fuels-demand/index.html	(from https://www.forrester.com/bold/)
17:07:01	42863/42863	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%22688f8de8-a76f%22	https://go.forrester.com/wp-content/themes/forrester/assets/vendor/slick.min.js?ver=1.8.1	C:/Users/philip%20godwin/Desktop/goddy/investttt/go.forrester.com/wp-content/themes/forrester/assets/vendor/slick.minc245.js	(from https://www.forrester.com/bold/)
17:07:01	24430/24430	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%22688f8de8-5f6e%22	https://go.forrester.com/wp-content/themes/forrester/assets/vendor/jquery.validate.min.js?ver=6.8.1	C:/Users/philip%20godwin/Desktop/goddy/investttt/go.forrester.com/wp-content/themes/forrester/assets/vendor/jquery.validate.min0899.js	(from https://www.forrester.com/bold/)
17:07:02	364285/364285	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%226890d8a9-58efd%22	https://go.forrester.com/wp-content/themes/forrester/assets/dist/js/core.min.js?ver=1754323114	C:/Users/philip%20godwin/Desktop/goddy/investttt/go.forrester.com/wp-content/themes/forrester/assets/dist/js/core.min0446.js	(from https://www.forrester.com/bold/)
17:07:05	1768891/1768891	---MCZ	200	added ('OK')	application/x-javascript	etag:%2231905340bb6d81:0%22	https://img.en25.com/Web/Forrester/%7B23c79f58-08a9-49f2-a2ec-2e63b7e11d4d%7D_zipsicdata.js	C:/Users/philip%20godwin/Desktop/goddy/investttt/img.en25.com/Web/Forrester/{23c79f58-08a9-49f2-a2ec-2e63b7e11d4d}_zipsicdata.js	(from https://www.forrester.com/bold/)
17:07:06	11673/11673	---M-Z	200	added ('OK')	text/css	date:Tue,%2005%20Aug%202025%2000:07:12%20GMT	https://use.typekit.net/hks2ljb.css	C:/Users/philip%20godwin/Desktop/goddy/investttt/use.typekit.net/hks2ljb.css	(from https://go.forrester.com/wp-content/themes/forrester/assets/dist/css/core.min.css?ver=1754323114)
17:07:06	2730/2730	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%226890d8a9-aaa%22	https://go.forrester.com/wp-content/themes/forrester/assets/dist/js/client-side-redirects.min.js?v=1754323112	C:/Users/philip%20godwin/Desktop/goddy/investttt/go.forrester.com/wp-content/themes/forrester/assets/dist/js/client-side-redirects.min9495.js	(from https://www.forrester.com/bold/planning-guides/)
17:07:07	219839/219839	---M-Z	200	added ('OK')	text/css	etag:W/%226890d8a9-35abf%22	https://go.forrester.com/wp-content/themes/forrester/assets/dist/css/core.min.css?ver=1754323112	C:/Users/philip%20godwin/Desktop/goddy/investttt/go.forrester.com/wp-content/themes/forrester/assets/dist/css/core.min91cd.css	(from https://www.forrester.com/bold/planning-guides/)
17:07:11	153620/153620	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Aug%202025%2000:07:15%20GMT	https://www.forrester.com/bold/planning-guide-2026-security-risk/	C:/Users/philip%20godwin/Desktop/goddy/investttt/www.forrester.com/bold/planning-guide-2026-security-risk/index.html	(from https://www.forrester.com/bold/planning-guides/)
17:07:14	364285/364285	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%226890d8aa-58efd%22	https://go.forrester.com/wp-content/themes/forrester/assets/dist/js/core.min.js?ver=1754323112	C:/Users/philip%20godwin/Desktop/goddy/investttt/go.forrester.com/wp-content/themes/forrester/assets/dist/js/core.min91cd.js	(from https://www.forrester.com/bold/planning-guides/)
17:07:16	153549/153549	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Aug%202025%2000:07:16%20GMT	https://www.forrester.com/bold/planning-guide-2026-b2b-marketing-executive/	C:/Users/philip%20godwin/Desktop/goddy/investttt/www.forrester.com/bold/planning-guide-2026-b2b-marketing-executive/index.html	(from https://www.forrester.com/bold/planning-guides/)
